"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","Battery:BatteryHolder_Keystone_1060_1x2032","~"
"C1,C11,C13","3","100 μF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C2,C4,C5,C6","4","25V  4700μF","","","","Capacitor_THT:C_Radial_D18.0mm_H35.5mm_P7.50mm",""
"C3,C12,C14","3","10 μF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C7,C9","2","0.22 μF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C8,C10","2","0.1 μF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"D1,D3,D4,D5,D6,D7,D12,D13,D14,D16,D19","11","1N4001","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D2,D8,D9,D10","4","1N47xxA","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"F1","1","Fuse_Small","","","","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","~"
"J1","1","DC","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J2","1","Bateria","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J3","1","Sensor IN","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J4","1","Sensor OUT","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J5","1","Boton A (1)","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J6","1","Boton B (2)","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J7","1","Boton C (3)","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J8","1","Relay 1","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J9","1","Relay 2","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J10","1","Relay 3","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J11","1","Relay 4","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J12","1","Terminal A","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-15P_1x15_P2.54mm_Horizontal","~"
